,concept_name,count,count_emotion,count_sadness,count_joy,count_fear,count_anger,count_surprise,count_disgust,count_trust,count_anticipation,count_confusion,count_denial
779,Offspring,6.0,16.0,6.0,,7.0,1.0,,1.0,,,,1.0
780,Relationship - Child,6.0,11.0,5.0,,5.0,,,,,,,1.0
781,With - dosing instruction fragment,9.0,52.0,16.0,1.0,11.0,6.0,3.0,2.0,,5.0,3.0,5.0
782,Panic Disorder,2.0,,,,,,,,,,,
783,Ischemia,1.0,,,,,,,,,,,
784,Ischemia Procedure,1.0,,,,,,,,,,,
785,"Cystitis, CTCAE 3",1.0,1.0,,,,1.0,,,,,,
786,Abdominal Cavity,1.0,,,,,,,,,,,
787,Abdomen,3.0,4.0,1.0,,2.0,,,,,1.0,,
788,Abdominopelvic structure,1.0,,,,,,,,,,,
789,Entire abdomen,1.0,,,,,,,,,,,
790,Entire pelvis,1.0,,,,,,,,,,,
791,Pelvic cavity structure,1.0,,,,,,,,,,,
792,Cellcept,1.0,,,,,,,,,,,
793,Asperger Syndrome,5.0,3.0,,,1.0,,,,1.0,,1.0,
794,Autistic Disorder,3.0,2.0,,,1.0,,,,,,1.0,
795,Anemia,2.0,2.0,1.0,,,,,,,,1.0,
796,"Anemia, CTCAE",2.0,2.0,1.0,,,,,,,,1.0,
797,Auto,1.0,1.0,1.0,,,,,,,,,
798,Immune,1.0,1.0,1.0,,,,,,,,,
799,Developmentally disabled (finding),1.0,,,,,,,,,,,
800,developmentally disabled (group),1.0,,,,,,,,,,,
801,Chronic sinusitis,1.0,1.0,1.0,,,,,,,,,
802,Calculi,3.0,3.0,,,,,1.0,1.0,,,1.0,
803,Entire gallbladder,1.0,3.0,,,1.0,,,,,,1.0,1.0
804,Gallbladder (MMHCC),1.0,3.0,,,1.0,,,,,,1.0,1.0
805,Urine,1.0,,,,,,,,,,,
806,In Urine,1.0,,,,,,,,,,,
807,Portion of urine,1.0,,,,,,,,,,,
808,Specimen Source Codes - Urine,1.0,,,,,,,,,,,
809,Urine - SpecimenType,1.0,,,,,,,,,,,
810,Ovulation,2.0,3.0,,,,1.0,1.0,1.0,,,,
811,Bladder problem,2.0,,,,,,,,,,,
812,mental health,2.0,2.0,1.0,,,1.0,,,,,,
813,"Infant, Newborn",1.0,1.0,,,1.0,,,,,,,
814,Entire heart,3.0,10.0,1.0,1.0,6.0,,,,,,2.0,
815,Neonatal (qualifier value),1.0,1.0,,,1.0,,,,,,,
816,Newborn (finding),1.0,1.0,,,1.0,,,,,,,
817,Newborn Encounter Admission Source,1.0,1.0,,,1.0,,,,,,,
818,Dyssomnias,1.0,1.0,1.0,,,,,,,,,
819,Mood swings,3.0,8.0,2.0,,2.0,1.0,,,,1.0,1.0,1.0
820,Overweight children,1.0,,,,,,,,,,,
821,Amniocentesis,2.0,,,,,,,,,,,
822,Obsessive-Compulsive Disorder,4.0,5.0,3.0,,,1.0,,,,,,1.0
823,Obsessive compulsive disorder drugs,1.0,1.0,1.0,,,,,,,,,
824,Symptoms,18.0,46.0,12.0,,6.0,2.0,3.0,,,9.0,10.0,4.0
825,Symptoms aspect,18.0,41.0,9.0,,6.0,1.0,3.0,,,9.0,9.0,4.0
826,Hallucinations,3.0,4.0,,,3.0,,,,,1.0,,
827,Aneurysm,1.0,1.0,,,,,,,,,1.0,
828,Cherry - dietary,1.0,1.0,,,,,,,,,1.0,
829,Cherry Flavor,1.0,1.0,,,,,,,,,1.0,
830,cherry allergenic extract,1.0,1.0,,,,,,,,,1.0,
831,Natural,1.0,,,,,,,,,,,
832,Hypothyroidism,4.0,5.0,1.0,,1.0,,,,,2.0,1.0,
833,"Oral Pain, CTCAE 5.0",1.0,,,,,,,,,,,
834,Oral pain,1.0,,,,,,,,,,,
835,Pain of oral cavity structure,1.0,,,,,,,,,,,
836,Borderline Personality Disorder,4.0,6.0,1.0,,2.0,1.0,,,,,1.0,1.0
837,Back Pain,5.0,5.0,1.0,,3.0,,,1.0,,,,
838,"Back Pain, CTCAE 3.0",4.0,4.0,1.0,,2.0,,,1.0,,,,
839,"Back Pain, CTCAE 5.0",4.0,4.0,1.0,,2.0,,,1.0,,,,
840,"Seizure, CTCAE 3.0",2.0,3.0,,,,,1.0,,,,1.0,1.0
841,"Seizure, CTCAE 5.0",2.0,3.0,,,,,1.0,,,,1.0,1.0
842,"Beta-hemolytic Streptococcus, group A",1.0,1.0,,,1.0,,,,,,,
843,Gas - Specimen Source Codes,1.0,1.0,,,1.0,,,,,,,
844,Gas - SpecimenType,1.0,1.0,,,1.0,,,,,,,
845,Gas Dosage Form,1.0,1.0,,,1.0,,,,,,,
846,Upset stomach,2.0,6.0,1.0,,2.0,1.0,,1.0,,,1.0,
847,gastrointestinal gas,1.0,1.0,,,1.0,,,,,,,
848,Tuberculosis,3.0,3.0,,,,,1.0,,,1.0,1.0,
849,Sacral Region,2.0,,,,,,,,,,,
850,Subdivision of pelvis,2.0,,,,,,,,,,,
851,Abdominal Pain,7.0,6.0,3.0,,2.0,,,1.0,,,,
852,"Abdominal Pain, CTCAE 5",3.0,1.0,1.0,,,,,,,,,
853,Breast Feeding,3.0,2.0,1.0,,1.0,,,,,,,
854,"Bottle, device",1.0,2.0,1.0,,1.0,,,,,,,
855,Discipline of Nursing,1.0,2.0,1.0,,1.0,,,,,,,
856,nursing therapy,1.0,2.0,1.0,,1.0,,,,,,,
857,Constant (qualifier),4.0,2.0,1.0,,1.0,,,,,,,
858,Constant - dosing instruction fragment,2.0,2.0,1.0,,1.0,,,,,,,
859,Shooting pain,1.0,1.0,,,1.0,,,,,,,
860,Multiple Myeloma,1.0,,,,,,,,,,,
861,Chronic obstructive pulmonary disease of horses,1.0,1.0,1.0,,,,,,,,,
862,Gagging,1.0,2.0,2.0,,,,,,,,,
863,Retching,1.0,1.0,1.0,,,,,,,,,
864,Crohn Disease,1.0,2.0,,,,,1.0,,,,1.0,
865,Morning Sickness,3.0,2.0,1.0,,,,,,,,1.0,
866,Female infertility,1.0,3.0,,,,,1.0,,1.0,,1.0,
867,Adverse effects,4.0,10.0,2.0,,,,2.0,1.0,1.0,1.0,3.0,
868,Adverse event,3.0,8.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,
869,aspects of adverse effects,3.0,8.0,1.0,,,,2.0,1.0,1.0,1.0,2.0,
870,chaste berry extract,3.0,4.0,,,,,1.0,,1.0,,2.0,
871,Primula obconica preparation,1.0,,,,,,,,,,,
872,day,1.0,7.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0
873,prenatal,2.0,3.0,1.0,,1.0,,,,,1.0,,
874,Social Anxiety,2.0,3.0,2.0,,1.0,,,,,,,
875,Compartment syndromes,1.0,,,,,,,,,,,
876,Chronic Urticaria,1.0,,,,,,,,,,,
877,Double Value Type,1.0,2.0,1.0,,,,,,,,1.0,
878,Doubling,1.0,2.0,1.0,,,,,,,,1.0,
879,Duplicate,1.0,2.0,1.0,,,,,,,,1.0,
880,Skin,3.0,7.0,,,2.0,,,,,1.0,3.0,1.0
881,Entire skin,3.0,7.0,,,2.0,,,,,1.0,3.0,1.0
882,Skin Specimen,3.0,7.0,,,2.0,,,,,1.0,3.0,1.0
883,Skin Specimen Source Code,3.0,7.0,,,2.0,,,,,1.0,3.0,1.0
884,"Skin, Human",3.0,7.0,,,2.0,,,,,1.0,3.0,1.0
885,Tinea cruris,1.0,2.0,1.0,,,,,1.0,,,,
886,Tinea of perianal region,1.0,2.0,1.0,,,,,1.0,,,,
887,Intervertebral Disc Degeneration,1.0,2.0,2.0,,,,,,,,,
888,Tongue,2.0,5.0,,,2.0,,,,,1.0,1.0,1.0
889,Entire scalp,1.0,,,,,,,,,,,
890,Entire tongue,2.0,5.0,,,2.0,,,,,1.0,1.0,1.0
891,Numb (emotional response),1.0,2.0,1.0,,,,,,,,,1.0
892,Residue on Tongue,2.0,5.0,,,2.0,,,,,1.0,1.0,1.0
893,Scalp structure,1.0,,,,,,,,,,,
894,Libido,1.0,1.0,,,,,1.0,,,,,
895,"Libido, CTCAE",1.0,1.0,,,,,1.0,,,,,
896,Miliaria,2.0,,,,,,,,,,,
897,Miliaria Rubra,2.0,,,,,,,,,,,
898,Sinusitis,1.0,3.0,1.0,,,,,,,,,2.0
899,"Sinusitis, CTCAE",1.0,2.0,1.0,,,,,,,,,1.0
900,Soft Tissue Route of Drug Administration,1.0,,,,,,,,,,,
901,soft tissue,1.0,,,,,,,,,,,
902,Wound Infection,1.0,,,,,,,,,,,
903,"Wound Infection, CTCAE",1.0,,,,,,,,,,,
904,Hernia,1.0,1.0,,,,,,,,,,1.0
905,Entire lumbar disc,1.0,,,,,,,,,,,
906,Paranoia,2.0,3.0,1.0,,1.0,,,,,1.0,,
907,Klonopin,1.0,,,,,,,,,,,
908,Withdraw (activity),1.0,,,,,,,,,,,
909,Withdrawal (dysfunction),1.0,,,,,,,,,,,
910,Withdrawal - birth control,1.0,,,,,,,,,,,
911,Withdrawal Scale (BASC-2),1.0,,,,,,,,,,,
912,Withdrawal by Subject,1.0,,,,,,,,,,,
913,Panic,2.0,7.0,1.0,,2.0,,,1.0,,2.0,1.0,
914,Body Weight,12.0,16.0,7.0,,3.0,,2.0,1.0,,,2.0,1.0
915,Body weight:Mass:Point in time:^Patient:Quantitative,12.0,16.0,7.0,,3.0,,2.0,1.0,,,2.0,1.0
916,Importance Weight,11.0,15.0,6.0,,3.0,,2.0,1.0,,,2.0,1.0
917,Weighing patient,12.0,16.0,7.0,,3.0,,2.0,1.0,,,2.0,1.0
918,Multiple Sclerosis,4.0,3.0,,,,,,,,1.0,1.0,1.0
919,Post,13.0,13.0,3.0,1.0,3.0,1.0,1.0,,,,3.0,1.0
920,Status post,11.0,11.0,3.0,1.0,2.0,,1.0,,,,3.0,1.0
921,Renal Dialysis,1.0,2.0,2.0,,,,,,,,,
922,Administration procedure,6.0,6.0,2.0,,2.0,,,,,,2.0,
923,Biomaterial Treatment,6.0,6.0,2.0,,2.0,,,,,,2.0,
924,Dialysis Method of Administration,1.0,2.0,2.0,,,,,,,,,
925,Dialysis procedure,1.0,2.0,2.0,,,,,,,,,
926,Physical Dialysis,1.0,2.0,2.0,,,,,,,,,
927,Therapeutic procedure,8.0,10.0,2.0,,2.0,,2.0,,,,4.0,
928,Treating,6.0,6.0,2.0,,2.0,,,,,,2.0,
929,therapeutic aspects,6.0,6.0,2.0,,2.0,,,,,,2.0,
930,treatment - ActInformationManagementReason,6.0,6.0,2.0,,2.0,,,,,,2.0,
931,Sciatica,1.0,,,,,,,,,,,
932,detox adjuvant,1.0,,,,,,,,,,,
933,Induction of labor procedure,1.0,,,,,,,,,,,
934,Onset of labor induced (finding),1.0,,,,,,,,,,,
935,Upper arm,2.0,2.0,1.0,,1.0,,,,,,,
936,Upper Extremity,1.0,,,,,,,,,,,
937,Axillary Reverse Mapping,1.0,,,,,,,,,,,
938,Entire upper arm,1.0,,,,,,,,,,,
939,Entire upper limb,1.0,,,,,,,,,,,
940,Sequence Arm,1.0,,,,,,,,,,,
941,Edema of foot (finding),1.0,,,,,,,,,,,
942,Edema of quadruped foot (finding),1.0,,,,,,,,,,,
943,Dilaudid,1.0,,,,,,,,,,,
944,Infant,8.0,26.0,9.0,2.0,6.0,1.0,2.0,,,2.0,,4.0
945,Participation Type - baby,8.0,24.0,9.0,2.0,5.0,1.0,2.0,,,1.0,,4.0
946,Genital Herpes,2.0,4.0,,,1.0,,1.0,,,,2.0,
947,Complication,2.0,2.0,1.0,,,1.0,,,,,,
948,Complication Aspects,1.0,,,,,,,,,,,
949,Complications:Type:Duration of the study:^Patient:Nominal,1.0,,,,,,,,,,,
950,Asthma attack,1.0,,,,,,,,,,,
951,methotrexate,1.0,,,,,,,,,,,
952,Enbrel,1.0,1.0,,,,,,,,,,1.0
953,Injection Route of Drug Administration,1.0,3.0,,,,1.0,,,,,1.0,1.0
954,Injection of therapeutic agent,1.0,9.0,,,1.0,1.0,2.0,,,1.0,2.0,2.0
955,Injection procedure,1.0,3.0,,,,1.0,,,,,1.0,1.0
956,androstenedione,6.0,9.0,3.0,,1.0,,,,,,3.0,2.0
957,Attention Deficit Disorder,6.0,9.0,3.0,,1.0,,,,,,3.0,2.0
958,ADD action code,6.0,9.0,3.0,,1.0,,,,,,3.0,2.0
959,Add - dosing instruction fragment,6.0,9.0,3.0,,1.0,,,,,,3.0,2.0
960,Add - instruction imperative,6.0,9.0,3.0,,1.0,,,,,,3.0,2.0
961,Additional,6.0,9.0,3.0,,1.0,,,,,,3.0,2.0
962,Primary,1.0,,,,,,,,,,,
963,Primary operation,1.0,,,,,,,,,,,
964,True primary (qualifier value),1.0,,,,,,,,,,,
965,Massive,1.0,1.0,,,,,,1.0,,,,
966,Trunk structure,1.0,,,,,,,,,,,
967,Insemination,1.0,,,,,,,,,,,
968,Uterus,2.0,2.0,,,2.0,,,,,,,
969,Inter,1.0,,,,,,,,,,,
970,Mixed anxiety and depressive disorder,1.0,,,,,,,,,,,
971,Sleep,2.0,10.0,3.0,,4.0,,,,,,2.0,1.0
972,Ability to Sleep After Treatment question,1.0,,,,,,,,,,,
973,Asleep,1.0,1.0,,,1.0,,,,,,,
974,Consent Type - Endometrial Biopsy,1.0,,,,,,,,,,,
975,Endometrial biopsy,1.0,,,,,,,,,,,
976,Endometrial scraping,1.0,,,,,,,,,,,
977,Fever,4.0,9.0,4.0,,2.0,,,,1.0,,1.0,1.0
978,Fever symptoms (finding),3.0,9.0,4.0,,2.0,,,,1.0,,1.0,1.0
979,"Fever, CTCAE",3.0,9.0,4.0,,2.0,,,,1.0,,1.0,1.0
980,Load - Remote control command,1.0,,,,,,,,,,,
981,Load Component of Device,1.0,,,,,,,,,,,
982,Loading Technique,1.0,,,,,,,,,,,
983,Gilles de la Tourette syndrome,1.0,,,,,,,,,,,
984,Allergy treatment,1.0,1.0,1.0,,,,,,,,,
985,"Diabetes Mellitus, Insulin-Dependent",2.0,,,,,,,,,,,
986,Pemphigus Vulgaris,1.0,1.0,1.0,,,,,,,,,
987,Chondromalacia,1.0,3.0,1.0,,1.0,,,,,1.0,,
988,Chondroplasty,1.0,3.0,1.0,,1.0,,,,,1.0,,
989,Sponsor (person),1.0,,,,,,,,,,,
990,Ear structure,2.0,7.0,3.0,,2.0,1.0,,,,,1.0,
991,Entire ear,2.0,7.0,3.0,,2.0,1.0,,,,,1.0,
992,Heart beat,1.0,2.0,1.0,,,1.0,,,,,,
993,Thunder,1.0,1.0,,,,1.0,,,,,,
994,Graves Disease,1.0,1.0,,,1.0,,,,,,,
995,Radiological Exposure Device,4.0,4.0,1.0,,1.0,,,,,,1.0,1.0
996,Red color,4.0,5.0,1.0,,1.0,,,,,1.0,1.0,1.0
997,Redness,4.0,5.0,1.0,,1.0,,,,,1.0,1.0,1.0
998,Spots on skin,1.0,1.0,,,1.0,,,,,,,
999,"Phobia, Social",1.0,2.0,1.0,,1.0,,,,,,,
1000,Moyamoya Disease,1.0,1.0,,,,,,,,,,1.0
1001,Moyamoya disease 1,1.0,,,,,,,,,,,
1002,Sickle Cell Trait,1.0,1.0,,,1.0,,,,,,,
1003,"Hypertension, CTCAE",1.0,5.0,1.0,,2.0,,,1.0,,,,1.0
1004,early pregnancy,2.0,1.0,1.0,,,,,,,,,
1005,Tylenol,2.0,1.0,,,,,,,,,,1.0
1006,Effect,2.0,4.0,,,,,,1.0,,,1.0,2.0
1007,Sugar-free cola,1.0,1.0,,,1.0,,,,,,,
1008,Cardiac Arrhythmia,2.0,1.0,,,,,,,,,,1.0
1009,Phobic anxiety disorder,5.0,8.0,1.0,,3.0,,,1.0,,1.0,1.0,1.0
1010,Anger,3.0,4.0,1.0,,1.0,2.0,,,,,,
1011,Life,1.0,6.0,,,2.0,1.0,,,,1.0,1.0,1.0
1012,Laser-Induced Fluorescence Endoscopy,1.0,6.0,,,2.0,1.0,,,,1.0,1.0,1.0
1013,Medical Tourism,1.0,,,,,,,,,,,
1014,Pancreaticoduodenectomy,1.0,,,,,,,,,,,
1015,Dull,1.0,,,,,,,,,,,
1016,Dull pain,1.0,1.0,,,1.0,,,,,,,
1017,Dull sensation quality,1.0,,,,,,,,,,,
1018,Never (AcknowledgementCondition),1.0,5.0,1.0,,1.0,,,,,,2.0,1.0
1019,Never (frequency),1.0,5.0,1.0,,1.0,,,,,,2.0,1.0
1020,Drug abuse,2.0,5.0,2.0,,,,,1.0,,,1.0,1.0
1021,Victim of abuse finding,2.0,5.0,2.0,,,,,1.0,,,1.0,1.0
1022,Syncope,2.0,4.0,1.0,,2.0,,,,,,1.0,
1023,Faint - appearance,1.0,1.0,,,1.0,,,,,,,
1024,Feeling suicidal (finding),1.0,,,,,,,,,,,
1025,acetylcholinesterase,1.0,1.0,,,1.0,,,,,,,
1026,Ache,3.0,2.0,,,2.0,,,,,,,
1027,Acetylcholinesterase measurement,1.0,1.0,,,1.0,,,,,,,
1028,Malignant Bone Neoplasm,1.0,3.0,1.0,,1.0,,,,,1.0,,
1029,Osteosarcoma of bone,1.0,3.0,1.0,,1.0,,,,,1.0,,
1030,Effexor XR,1.0,,,,,,,,,,,
1031,Brain Concussion,1.0,,,,,,,,,,,
1032,Moody (finding),1.0,6.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0
1033,Patient Visit,1.0,7.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0
1034,Visit,1.0,7.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0
1035,Visit Name,1.0,7.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0
1036,Lactose Intolerance,3.0,3.0,,,,,,,,1.0,2.0,
1037,Milk Allergy,2.0,3.0,,,,,,,,1.0,2.0,
1038,Cow milk allergy,1.0,2.0,,,,,,,,1.0,1.0,
1039,Prozac,1.0,5.0,1.0,,1.0,,,,1.0,,2.0,
1040,Arachnoid Cysts,1.0,,,,,,,,,,,
1041,Zyvox,1.0,,,,,,,,,,,
1042,Sleep Apnea Syndromes,1.0,,,,,,,,,,,
1043,SLEEP APNEA (device),1.0,,,,,,,,,,,
1044,"Sleep Apnea, CTCAE",1.0,,,,,,,,,,,
1045,Byetta,1.0,1.0,1.0,,,,,,,,,
1046,Suicide,4.0,2.0,1.0,,1.0,,,,,,,
1047,Ectopic Pregnancy,2.0,2.0,,,2.0,,,,,,,
1048,prednisone,2.0,,,,,,,,,,,
1049,Fluorescence Spectroscopy,1.0,3.0,2.0,,,1.0,,,,,,
1050,"POLYDACTYLY, POSTAXIAL, WITH PROGRESSIVE MYOPIA",1.0,3.0,2.0,,,1.0,,,,,,
1051,Premenstrual syndrome,1.0,3.0,2.0,,,1.0,,,,,,
1052,Adverse Event Associated with Syndromes,1.0,2.0,1.0,,,1.0,,,,,,
1053,Before,2.0,7.0,2.0,,1.0,2.0,,1.0,,1.0,,
1054,Before values,2.0,2.0,1.0,,,1.0,,,,,,
1055,posterior marginal sulcus (human only),1.0,3.0,2.0,,,1.0,,,,,,
1056,Down Syndrome,1.0,,,,,,,,,,,
1057,Irregular Menstruation,1.0,,,,,,,,,,,
1058,"Antibiotics, Antitubercular",1.0,2.0,1.0,,,,,,,,,1.0
1059,Antibiotic throat preparations,1.0,2.0,1.0,,,,,,,,,1.0
1060,Antibiotics FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,1.0,2.0,1.0,,,,,,,,,1.0
1061,Antibiotics for systemic use,1.0,2.0,1.0,,,,,,,,,1.0
1062,"Antibiotics, Gynecological",1.0,2.0,1.0,,,,,,,,,1.0
1063,"Antibiotics, ophthalmologic",1.0,2.0,1.0,,,,,,,,,1.0
1064,"Antifungal Antibiotics, Topical",1.0,2.0,1.0,,,,,,,,,1.0
1065,"antibiotics, intestinal",1.0,2.0,1.0,,,,,,,,,1.0
1066,Aspects of signs,3.0,3.0,2.0,,1.0,,,,,,,
1067,Manufactured sign,3.0,3.0,2.0,,1.0,,,,,,,
1068,Marijuana Abuse,2.0,5.0,,1.0,1.0,,1.0,,,,2.0,
1069,Food,3.0,4.0,,,1.0,,,1.0,,,2.0,
1070,Advice,1.0,,,,,,,,,,,
1071,Allergic,2.0,,,,,,,,,,,
1072,Solid,1.0,,,,,,,,,,,
1073,Solid Dose Form,1.0,,,,,,,,,,,
1074,Solid Nodule,1.0,,,,,,,,,,,
1075,nutramigen,1.0,,,,,,,,,,,
1076,solid substance,1.0,,,,,,,,,,,
1077,travel,1.0,,,,,,,,,,,
1078,travel charge,1.0,,,,,,,,,,,
1079,Intestines,2.0,2.0,1.0,,1.0,,,,,,,
1080,Bowel Continence question,1.0,,,,,,,,,,,
1081,Physicians,2.0,49.0,3.0,,2.0,5.0,,1.0,1.0,2.0,7.0,28.0
1082,Doctor - Title,1.0,35.0,,,1.0,4.0,,1.0,1.0,2.0,5.0,21.0
1083,Decompression,2.0,,,,,,,,,,,
1084,Decompression - action (qualifier value),2.0,,,,,,,,,,,
1085,"Decompression, external",2.0,,,,,,,,,,,
1086,Decompressive incision,2.0,,,,,,,,,,,
1087,Diet therapy,5.0,6.0,3.0,,1.0,,,,,1.0,,1.0
1088,Diet,5.0,6.0,3.0,,1.0,,,,,1.0,,1.0
1089,Basal Diet,5.0,6.0,3.0,,1.0,,,,,1.0,,1.0
1090,Diet (animal life circumstance),5.0,6.0,3.0,,1.0,,,,,1.0,,1.0
1091,Special Diet Therapy,5.0,6.0,3.0,,1.0,,,,,1.0,,1.0
1092,diet - supply,5.0,6.0,3.0,,1.0,,,,,1.0,,1.0
1093,Human papilloma virus infection,1.0,2.0,1.0,,,1.0,,,,,,
1094,human papillomavirus,2.0,2.0,1.0,,,1.0,,,,,,
1095,Uterine Fibroids,1.0,1.0,1.0,,,,,,,,,
1096,Family,1.0,5.0,3.0,,,,,,,2.0,,
1097,Coverage level - Family,1.0,5.0,3.0,,,,,,,2.0,,
1098,Entity Name Part Type - family,1.0,5.0,3.0,,,,,,,2.0,,
1099,Family (taxonomic),1.0,5.0,3.0,,,,,,,2.0,,
1100,Last Name,1.0,5.0,3.0,,,,,,,2.0,,
1101,Living Arrangement - Family,1.0,5.0,3.0,,,,,,,2.0,,
1102,Root Planing,1.0,2.0,,,,1.0,,,,,,1.0
1103,urinary pain,1.0,,,,,,,,,,,
1104,Excessive,1.0,,,,,,,,,,,
1105,Moist,1.0,,,,,,,,,,,
1106,Soaking Procedure,1.0,2.0,1.0,,,1.0,,,,,,
1107,Human body,4.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1108,Adult human body,4.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1109,Body of stomach,4.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1110,Body structure,4.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1111,Document Body,4.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1112,During,2.0,10.0,3.0,,2.0,1.0,,,,,2.0,2.0
1113,Human body structure,4.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1114,Over (spatial),1.0,8.0,3.0,,2.0,,,,,,1.0,2.0
1115,Terminology Kind,1.0,,,,,,,,,,,
1116,Type - attribute,1.0,,,,,,,,,,,
1117,Whole body,5.0,10.0,2.0,,5.0,2.0,,1.0,,,,
1118,HIV,3.0,3.0,2.0,,1.0,,,,,,,
1119,HIV Vaccine,3.0,3.0,2.0,,1.0,,,,,,,
1120,Human Immunodeficiency Virus Measurement,3.0,3.0,2.0,,1.0,,,,,,,
1121,Dietary Supplements,1.0,2.0,1.0,,1.0,,,,,,,
1122,Brachial,1.0,1.0,,,1.0,,,,,,,
1123,Infected,2.0,1.0,,,1.0,,,,,,,
1124,Observation of Sensation,1.0,2.0,,,,,,1.0,,,1.0,
1125,Tickling sensation quality,1.0,1.0,,,,,,,,,,1.0
1126,Angioplasty,1.0,1.0,,,1.0,,,,,,,
1127,Angioplasty - Consent Type,1.0,1.0,,,1.0,,,,,,,
1128,"HHIP protein, human",1.0,1.0,,,1.0,,,,,,,
1129,"RPL29 protein, human",1.0,1.0,,,1.0,,,,,,,
1130,"ST13 protein, human",1.0,1.0,,,1.0,,,,,,,
1131,Joints,2.0,2.0,,,2.0,,,,,,,
1132,Paint,1.0,1.0,,,1.0,,,,,,,
1133,Articular system,2.0,2.0,,,2.0,,,,,,,
1134,Bone structure of ischium,1.0,1.0,,,1.0,,,,,,,
1135,Entire joint,1.0,1.0,,,1.0,,,,,,,
1136,Hip structure,1.0,1.0,,,1.0,,,,,,,
1137,Joint Device,1.0,1.0,,,1.0,,,,,,,
1138,Structure of habenulopeduncular tract,1.0,1.0,,,1.0,,,,,,,
1139,heme iron polypeptide,1.0,1.0,,,1.0,,,,,,,
1140,Gastrojejunostomy,2.0,1.0,,,,,,,,1.0,,
1141,Unexplained,2.0,2.0,,,2.0,,,,,,,
1142,Spasm,4.0,5.0,,,1.0,,2.0,1.0,,1.0,,
1143,Orgasm,1.0,,,,,,,,,,,
1144,Breath,1.0,,,,,,,,,,,
1145,Full,1.0,,,,,,,,,,,
1146,Minute of time,1.0,,,,,,,,,,,
1147,Mussels - dietary,1.0,,,,,,,,,,,
1148,Sore to touch,3.0,9.0,2.0,,3.0,1.0,,,,1.0,2.0,
1149,Legg-Calve-Perthes Disease,1.0,2.0,,,1.0,,,,,,1.0,
1150,Complete Blood Count,1.0,,,,,,,,,,,
1151,Check,1.0,,,,,,,,,,,
1152,Checking (action),1.0,,,,,,,,,,,
1153,During - dosing instruction fragment,1.0,2.0,,,,1.0,,,,,1.0,
1154,Early stage,1.0,,,,,,,,,,,
1155,Very,2.0,6.0,2.0,,2.0,,1.0,,,1.0,,
1156,Very Much,2.0,6.0,2.0,,2.0,,1.0,,,1.0,,
1157,treatment options,1.0,,,,,,,,,,,
1158,Late,2.0,6.0,,,2.0,,,,,1.0,2.0,1.0
1159,Late stage,2.0,5.0,,,2.0,,,,,1.0,2.0,
1160,Entire uterus,1.0,2.0,,,2.0,,,,,,,
1161,Arthrodesis of ankle,1.0,3.0,,1.0,,,,,,1.0,,1.0
1162,Psoriasis,2.0,1.0,,,,,,,,,1.0,
1163,Confusion,1.0,1.0,,,,,,,,,1.0,
1164,Feelings,1.0,2.0,1.0,,,,,,,,1.0,
1165,Pallor,1.0,,,,,,,,,,,
1166,Visual Impairment,3.0,1.0,1.0,,,,,,,,,
1167,Alertness,1.0,,,,,,,,,,,
1168,Clouded consciousness,1.0,1.0,,,,,,,,,1.0,
1169,"Confusion, CTCAE 3.0",1.0,,,,,,,,,,,
1170,"Confusion, CTCAE 5.0",1.0,,,,,,,,,,,
1171,Specimen Source Codes - Whole body,1.0,,,,,,,,,,,
1172,Specimen Type - Whole body,1.0,,,,,,,,,,,
1173,Face,4.0,6.0,,,4.0,,,1.0,,,,1.0
1174,Facial,3.0,3.0,,,1.0,,,1.0,,,,1.0
1175,Neurodermatitis,1.0,2.0,1.0,,1.0,,,,,,,
1176,Pruritus,4.0,3.0,1.0,,,,,,,1.0,1.0,
1177,Have Itch,1.0,,,,,,,,,,,
1178,How Much Distress Itching,1.0,,,,,,,,,,,
1179,How Often Itching,1.0,,,,,,,,,,,
1180,Usual Severity Itching,1.0,,,,,,,,,,,
1181,Sleep Disorders,2.0,1.0,,,,1.0,,,,,,
1182,Heavy (qualitative concept),1.0,4.0,1.0,,2.0,,,,,,1.0,
1183,Heavy (weight) (qualifier value),1.0,4.0,1.0,,2.0,,,,,,1.0,
1184,Leg,3.0,6.0,,,4.0,,,,,1.0,,1.0
1185,Lower Extremity,1.0,2.0,,,1.0,,,,,,,1.0
1186,"Entire lower leg, from knee to ankle",1.0,2.0,,,1.0,,,,,,,1.0
1187,Entire lower limb,1.0,2.0,,,1.0,,,,,,,1.0
1188,Intraepithelial Neoplasia,1.0,1.0,,,,,,,,,,1.0
1189,Clitoris,1.0,1.0,1.0,,,,,,,,,
