idx,question,content,best_answer,focus,age,gender,other_demographic,sadness_support,sadness_cause,joy_support,joy_cause,fear_support,fear_cause,anger_support,anger_cause,surprise_support,surprise_cause,disgust_support,disgust_cause,trust_support,trust_cause,anticipation_support,anticipation_cause,confusion_support,confusion_cause,denial_support,denial_cause,neutral,informational_support,emotional_support,esteem_support,tangible_support,network_support,support_needs
343897,"Anxiety Panic Disorder/Depression issue, what to do?","I've got a big Anxiety Panic Disorder/Depression issue, what to do?

It was diagnosed  after going to every expensive doctor in New York City.  After many, many medication options, and some major life changes, all was fine for the last six years.

I moved.  I bought a house.  In South Florida.  Hurricanes.  Became a 6th grade Teacher.  And the meds recently stopped working.

I get life having challenges but I don't get when the suffering and pain never ends.  I've been put on a set of different meds, the last one a new 'MAOI"""" plus Lamictle and Ativan; SSRI's don't work on me.  The anxiety comes/goes, but the depression sucks.  I hope the new meds work.

I have also tried cognative therapy, medation, food changes and """"people editing"""" (err, diss the ones in your life that do not work), prayer, changing things, etc.

I just can't seem to get to a comfortable spot in my life, not one minute. I have no family, all died, and most of my friends here are moving away.  Any hopefull suggestions?","It sounds like you are not thinking about solving one problem at a time, but focussing on them all at once, which can be stressful, overwhelming, and can worsen your depression. Here are some things you can try at home to decrease your depression. Hope this helps.

""""GET OUT OF BED: 

One of the most important things you can do is get up at about the same time every morning (even week-ends). Preferably, that means about 7 a.m. or earlier. You might not feel like it but Get Up. Such regularity helps your body function more normally so you're more likely to feel normal. 

LIGHTS: 

Light helps your body function better. So turn on a lot of lights as soon as you arise. Open curtains to get more sunlight. Better yet, go outdoors into the sunshine as soon as you can. Remove any eyewear so light will enter more readily (glass cuts out some of the sun's rays). But don't stare at the sun, of course. 

MOVE: 

Be active right away -- oxygenate! That means getting up and walking around your dwelling for five or 10 minutes, or perhaps riding an exercycle. Mild exercise gets the blood flowing and transports more oxygen throughout your body (especially to your brain), helping you feel mentally alert and alive. 

MUSIC: 

Select and play some energetic, happy music as you dress and have your breakfast. The audiovisual department of most libraries has albums and tapes you can check out. 
  

BREAKFAST: 

Begin your breakfast with protein (i.e., meat, eggs, peanut butter, nuts, cheese). When you get up, your body chemistry is ready to convert food, especially protein,into longlasting energy. To balance your most important meal of the day, add an orange or other fresh fruit and whole grain cereal or whole grain bread. 

TALK WITH SOMEONE: 

One of the quickest ways to beat the blues is to interact with others. You might not feel like doing that - you'd rather avoid people when blue. So make lt easier on yourself. Talk with someone you enjoy about a subject you enjoy so there is definite give and take. 

And, force yourself to say """"hello"""" to the persons next to you in class, those where you live, anyone around. 

LIMIT CAFFEINE: 

The long-term (four hours or so) effects of caffeine are depression. Try to limit coffee to no more than one cup in the morning. Coffee can make you more alert for an hour or so, but later you get an opposite reaction. Caffeine tends to increase the release of insulin in the blood, and insulin lowers the blood sugar level. When you have low blood sugar levels, you begin to feel less sure of yourself, and have low energy levels, which can lead to the blues or depression. 

LIMIT SUGAR: 

Sugar might give you an initial rush of energy, but within an hour or so the blood sugar level can become low, and when it's low you may feel low, too. 

The caffeine/sugar cycle. It's easy to get caught in the caffeine and sugar cycle -- having coffee, caffeinated soft drinks, or something with sugar every two hours or so to """"stay up."""" For example, cola contains about 10 teaspoons of sugar plus caffeine equal to about half a cup of coffee. In addition to bringing on the blues, this cycle can result in dependence, poor nutrition. and obesity -- reasons to get down on yourself even more and feel blue. 

MAINTAIN FIBER: 

Fiber helps food go through your digestive system at a proper rate, giving a more constant energy supply. Highly processed foods merely provide a quick surge of energy which can be followed by depression. You can maintain fiber in your diet by eating an orange or grapefruit rather than just drinking the juice. Eat fresh vegetables, fresh fruits, and whole grain breads and cereals. 

STRESS B COMPLEX: 

Some persons report receiving help by taking a concentrated vitamin B complex. You'll find these called something like """"Stress B"""" or """"B 50."""" This is controversial. 
Some nutritionists say, """"Yes, this",Anxiety Panic Disorder/Depression i,,,NA,"The anxiety comes/goes, but the depression sucks. 
",depression,,,,,,,,,NA,NA,NA,NA,I hope the new meds work.,depression,,,,,,,"Yes: I just can't seem to get to a comfortable spot in my life, not one minute.",,,"Yes:  I have no family, all died, and most of my friends here are moving away.  Any hopefull suggestions?",Yes: . Here are some things you can try at home to decrease your depression. Hope this helps.
1482978,"HPV, getting pregnant and chance of miscarrages?","I have HPV and have had two coloposcopies with another one scheduled for the 28th. I have also had the LEEP procedure done once. I know the HPV never goes away, but I was wondering if anyone who has had LEEP or other HPV/abnormal Pap/mild dysplasia treatments done who have had problems either conceiving or carrying a baby to term? Does it hinder conception or does it cause early miscarriages? Can it still be treated during pregnancy?","HPV is unlikely to affect your pregnancy or your baby's health. If you have genital warts, they may grow faster during pregnancy, possibly from the extra vaginal discharge that provides the virus with a moist growing environment, hormonal changes, or changes in your immune system. In most cases they won't pose any problems for you or your baby.

It's possible for you to pass the virus to your baby, but this doesn't happen very often. Even if your child does contract HPV, he's likely to overcome it on his own without any symptoms or problems. In the unlikely event that he gets the type of HPV that causes genital warts, he may develop warts on his vocal cords and other areas sometime in infancy or childhood. This condition, called recurrent respiratory papillomatosis, is very serious, but fortunately it's also rare. 

There's no drug that can get rid of the virus. If you have warts, your practitioner may decide not to treat them during your pregnancy, because they often get better on their own or even disappear altogether after you give birth.There are various treatments, however, that can be used to remove the warts safely during pregnancy.

If your practitioner decides removal is necessary, she may use a special acid solution, freeze them off with a liquid nitrogen solution, or remove them by laser, by electrocautery, or surgically. (Two prescription products that women apply themselves are used to treat genital warts, but they're generally not recommended during pregnancy. And don't ever try to treat genital warts with drugstore medications meant for common warts.)

If your Pap smear is abnormal, your practitioner may examine your cervix and vagina with a special microscope in a procedure called colposcopy. (A colposcopy is no more uncomfortable than a Pap, though it takes longer.) If she sees suspicious changes in your cells, she may take a biopsy of the tissue, which can cause some temporary discomfort and bleeding.

If there's no evidence of invasive cancer, your practitioner will most likely wait until after you give birth to further treat the abnormal cells, although depending on your situation, the colposcopy might need to be repeated during your pregnancy. Your practitioner will follow up with another colposcopy about six to eight weeks after you give birth to see if the problem persists. In many cases, the abnormal changes go away on their own after delivery, making further interventions unnecessary.",HPV and have had two coloposcopies,,Female,NA,,,,,Does it hinder conception or does it cause early miscarriages,LEEP procedure done once,,,,,,,NA,NA,,,,,,,,Yes: Does it hinder conception or does it cause early miscarriages? Can it still be treated during pregnancy?,,,,Yes:  I was wondering if anyone who has had LEEP or other HPV/abnormal Pap/mild dysplasia treatments done who have had problems either conceiving or carrying a baby to term?,Yes:  In most cases they won't pose any problems for you or your baby.
1375084,"Hi, I have recently been diagnosed as having diabetes type 2. My g.p put me on diabex xr.?","i am to take 4 tabs (500mg each) with my evening meal. I keep loosing weight which i am so worried about. i have cut out all my sugar intake, wach my carbs and exercise almost every day. is this weight loss normal? is there anyone out there experiencing/or have had the same? non of my clothes fit me, and everyone keeps say """"you have lost so much weight"""" my doctor does not seem concerned the slightest. please answer back asap. thamk you","You will gain or lose weight when you are diagnosis with diabetes
Type 2. If your A1c is over the 300 to 400 range, your doctor's is 
trying to get your glucose level down. If your glucose level remain
at an elevated number, it can cause strokes, comas, kidney failure, cataracts, glaucoma, poor blood circulations and other 
problems. If the weight is coming off, that is great. The less weight you have on you the better chance you will have of controlling your diabetes. But your dosage seems high. If I may ask, are you severely over weight?",weight loss,,,NA," non of my clothes fit me, and everyone keeps say """"you have lost so much weight""""",ecently been diagnosed as having diabetes type 2,,,I keep loosing weight which i am so worried about.,ecently been diagnosed as having diabetes type 2,,,,,,,NA,NA,,,,,my doctor does not seem concerned the slightest.,ecently been diagnosed as having diabetes type 2,,Yes: is this weight loss normal?,,,,Yes:  is there anyone out there experiencing/or have had the same?,"Yes: If I may ask, are you severely over weight?"
2942216,Does anyone here used herbal medicine to shrink a uterine fibroid tumor (myoma)?,"the past weeks i been in terrible thoughts finding that i got 2 uterine fibroid growing (intramural type) abt 11cm and 8 cm... 
i consulted 3 specialist already and they told me that they cnt assure me that they will not remove my uterus.. im still single ,and menopause is still far away plus im desirous to have kids..
upon research i found more advantages if my uterus will be removed. Now i have come across natural progesterone and other herbal things they sell in the internet.. Can you share me any of its effects if someone of you have use it .. PLEASE SERIOUS ANSWER ONLY.. u will help me a lot.. thnx","yeah but you still didn't answer my question on weather and whether.  
i asked you to give me a neumonic so i can remember them.  
but to answer you question no.  

do not remove your uterus.  get a second opinion.  if you want to gave 84 kidlets, please do not do that.  i have never used herbal stuff like that but it does not hurt to try.  give it a try first before you remove your woumb.  

i am ttc and i am using fertility blend and such stuff.  so those are the only things i've tried.  and i drink herbal teas.

why can't they remove the fibroids and not the uterus though?",uterine fibroid,,Female,NA,,,NA,NA,consulted 3 specialist already and they told me that they cnt assure me that they will not remove my uterus.,uterus will be removed,,,,,,,NA,NA,,,,,,,,Yes: Does anyone here used herbal medicine to shrink a uterine fibroid tumor (myoma)?,,,,Yes:  PLEASE SERIOUS ANSWER ONLY.. u will help me a lot.. thnx,Yes: do not remove your uterus.  get a second opinion.
1704317,What causes multiple miscarriages after a healthy birth?,"My friend just suffered her second miscarriage. She had a healthy baby boy 4 years ago. About 2 years later, she had another baby, but he died a month later of a rare heart defect. Since then, she's had 2 miscarriages. I was just wondering what would cause this. She does all the right things...goes to the doctor, takes care of herself, avoids stress, etc. The doctors haven't really told her anything.",The majority of miscarriages is spontaneous abortion to which her body is aware that there is a genetical defect to the fetus and whcih case it desides to remove it from the body.   What she and her husband  need to do is go to a genetic counslor and they will run genetical tests.  The fact that she had a child that died of a rare heart disease is a HUGE signal.  Probably the doctors aren't thinking logially about his situation and not really seeing the overall picture.,miscarriage,,,NA,,,NA,NA,,,,," I was just wondering what would cause this. She does all the right things...goes to the doctor, takes care of herself, avoids stress, etc. ",multiple miscarriages,,,NA,NA,,,,,The doctors haven't really told her anything.,multiple miscarriages,,Yes: What causes multiple miscarriages after a healthy birth?,,,,Yes:  The doctors haven't really told her anything.,Yes:  What she and her husband  need to do is go to a genetic counslor and they will run genetical tests.  The fact that she had a child that died of a rare heart disease is a HUGE signal.  Probably the doctors aren't thinking logially about his situation and not really seeing the overall picture.
3501286,Dealing with dads cancer?,"My dad has had cancer for over 7 years. I know hes not going to be here forever. I am going to be 20 and there has been so much more. This has been alot to deal with from the daughtors perspective. I have been told I am so strong for dealing with everything the way I have, but I think I need something more. What is out there for people dealing with family and cancer? Psychologist? Groups? What has worked? I have thought about talking to a psychologist or something but I dont know if thats what I need.....im so confused.","Hi Katie, I'm sorry to hear about your dad.  I think you have a good head on your shoulders and are strong for asking for ideas on how to deal with things.  Yahoo has alot of different groups for families and cancer.  You should talk to other people in your same situation, they can shed fresh light on ideas.  I'm a survivor myself, at the same time I had my cancer, my best friend did too, she died, then after I recovered my dad had bladder cancer.  It's scary.  7 years is a good record for having cancer and it's getting to the stage that alot of people just """"live with cancer"""" like you do with diabetes, asthma, and other problems so although no one is here forever, he has a good chance for more years with the new clincial trials and treatments coming out each day.  But just knowing he has it is hard, and you should be in a support group of some sort.  A pastor can help, catholic charities has free counselling services, psychologists can help, groups can help, you have to try and see where you feel the most comfortable.",family and cancer,,Female,NA,I know hes not going to be here forever.,Dealing with dads cancer,,,,,,,,,,,,,I know hes not going to be here forever.,Dealing with dads cancer,I have thought about talking to a psychologist or something but I dont know if thats what I need.....im so confused. I know hes not going to be here forever.,Dealing with dads cancer,,,,,Yes:  I have thought about talking to a psychologist or something but I dont know if thats what I need.....im so confused.,,,Yes:  What is out there for people dealing with family and cancer? Psychologist? Groups? What has worked?,"Yes: Hi Katie, I'm sorry to hear about your dad.  I think you have a good head on your shoulders and are strong for asking for ideas on how to deal with things.  "
2816299,Any dietitian out there want to help me? Please!?,"I have the following conditions:
Diabetes
Hypothyroidism (Hashimoto's)
High Blood Pressure
High Cholesterol
Fatty Liver
Hyperclotability
IgG deficiency
Hypotestosteronenemia

I am on a dozen drugs, I weigh 165 (am loosing weight quickly due to diabetes drugs), I don't drink, do street drugs, haven't eaten beef or pork in 26 years. I eat healthfully but due to illness, my activity level has been low. I am up to walking now for 30 mins a day. I am very aware of the foods I eat, am super careful but when I was told day before yesterday I have a fatty liver, I just sort of lost it. I try so hard to eat right but now there is so little I can eat.

I need a dietitian to customize a diet for me that will lower my cholesterol, reduce my high blood pressure, not interfere with my coumadin levels, aids the diabetes and will reduce the fatty liver as well as boost my immune system! 

Help!?","According to the medical history you present, you need something more like a Naturopathic Doctor.  You may find some dieticians well-versed in the above conditions, but they typically are not qualified to address your conditions solely through diet suggestions.  

http://www.naturopathic.org/",diet,,,NA,,,NA,NA,,,"when I was told day before yesterday I have a fatty liver, I just sort of lost it. ",fatty liver,,,,,NA,NA,,,,,,,,Yes: I need a dietitian to customize a diet for me,,,,Yes: Any dietitian out there want to help me? Please!?,No
1967770,Any experience with overcoming gum disease without root planing/scaling?,"Dentists or personal experience or relatives; how did you do it?  The procedure is $600 and four appointments taking off work.  If I brush and floss and use periomed can i overcome this without the procedure?  Is there anything else i can do?And how serious is it?  How do i know if the dentist office is just trying to sell me something i don't really need?  I'm very upset about this diagnosis, i know it is my own doing and i want to get on top of it.  Do i really need the root planing/scaling?","Well you can't remove caluclus (tartar) with out a good cleaning.  

As far as the trust issue.  I'm a dentist,  Iknow there are a few bad apples out there.  My niece was diagnosed for a deep cleaning, when she didn't need one, it is illegal.  Chances are if you gut tells you there is something wrong with the treatment you should go with your gut.  by all means don't continue with a treatment plan you are skeptical about.  

I had a patient go in for X-rays to a near by office and was diagnosed for a deep cleaning, a filling and four wisdom teeth extractions before he even sat with the dentist.  That is just plain wrong.  I think when this happens some one has lost sight of what dentistry is all about,  The diagnosis should never come before the exam.  

Your dentist should be able to explain all this to you.  Point out your condition.  A have your confidence.  If you continue you are doing yourself and him/her a disservice.
all dentists want there patients to be happy.",root planing/scaling,,,NA,,,,,,," I'm very upset about this diagnosis, i know it is my own doing and i want to get on top of it. ",root planing/scaling,,,,,NA,NA,,,,,How do i know if the dentist office is just trying to sell me something i don't really need?,root planing/scaling,,Yes: If I brush and floss and use periomed can i overcome this without the procedure?   Is there anything else i can do?And how serious is it?  How do i know if the dentist office is just trying to sell me something i don't really need?,,,,Yes: Any experience with overcoming gum disease without root planing/scaling?,Yes: .  If you continue you are doing yourself and him/her a disservice.
4176825,Does throwing up after you eat really cause you to lose weight?,"Okay, so I can admit I have some serious issues. I have had anorexia for about 8 years now, and have been experimenting with bulimia.  The thing is, whenever I try to eat something, I freak out and have a panic attack, and then go throw up. So, does throwing up what I just ate really keep the weight off?  The food doesn't digest, so it is just tricking my body in to thinking it has eaten?  Am I right?  Any fellow strugglers or those recovered, your advice on this is greatly appreciated.","Yes, you will not gain weight if your food isn't able to digest.  This is a serious problem for you and I hope you're able to overcome it.  One other thing to consider when you vomit repeatedly... the acid from your stomach will eat the enamel off your teeth... be careful.  Take care, dear",throwing up after you eat,,,NA,,,,," whenever I try to eat something, I freak out and have a panic attack, and then go throw up. ","had anorexia for about 8 years now, and have been experimenting with bulimia.",,,,,,,NA,NA,,,,,,,,"Yes: So, does throwing up what I just ate really keep the weight off?  ","Yes: Any fellow strugglers or those recovered, your advice on this is greatly appreciated.","Yes: The food doesn't digest, so it is just tricking my body in to thinking it has eaten?  Am I right? ",,"Yes: Any fellow strugglers or those recovered, your advice on this is greatly appreciated.",Yes: This is a serious problem for you and I hope you're able to overcome
1217661,I have had 1 Yeast infection due 2 other med. 2 urinary track infection and now having sharp tare like pain.?,I have been sexualy active for about a year now.(faithfully). The last problem that I had was a urinary trak infection about two months ago. (Both my partner and I have been tested for STD'S.) The pain that I now have is not like a yest infection or an urinary pain. this is more like the outer side and is kind of swollen. It has been going on for about 4 days. I was tolld to by some over the counter cream and it should be gone in a few days. I doint think that it could by that easy. Any help would be greatly appreciated. Thank's,WEll if you can rule out the yeast and any STD's then maybe you just aren't lubricated enough. If you are dry then the friction could be making you swell. If is continues then you have no choice but to see your doctor. Good Luck.,urinary pain,,Female,NA,,,NA,NA,,,,,,,,,NA,NA,I doint think that it could by that easy.,,,,,,,Yes: having sharp tare like pain.?,,,,Yes: Any help would be greatly appreciated.,Yes:  If is continues then you have no choice but to see your doctor. Good Luck.
1606622,Need real medical advice for lumps on neck?,"My 15 y/o has suddenly developed 3 painful lumps on her neck. One behind each ear (size of a pea)and one larger one (size of a nickel) on the side of her neck closer to her shoulder.

They are hard and extremely painful. Only shown up in the past 24 hours. They are not bug bites, zits or boils. 
They might be swollen lymph nodes but she hasn't been sick and they don't seem in the right place to be lymph glands.

Anyone have any experience with this and know what it is?","She doesn't necessarily have to FEEL sick to BE sick. The lymph nodes are on of our body's protective systems. They filter infection and impurities. If they are swollen but she doesn't feel sick that could be a good thing, meaning they are doing their job. She will need to see her doctor though to find out what the infection is and probably put her on antibiotics.",lumps on neck,,,NA,,,,,"They are hard and extremely painful. Only shown up in the past 24 hours. They are not bug bites, zits or boils.",3 painful lumps on her neck,,,,,,,NA,NA,,,They might be swollen lymph nodes but she hasn't been sick and they don't seem in the right place to be lymph glands.,3 painful lumps on her neck,,,,,,,,Yes: Anyone have any experience with this and know what it is?,Yes: She doesn't necessarily have to FEEL sick to BE sick.
3168531,does my 2 year old have diabetes?,"Hi my daughter is 2 1/2 years old, recently she has been drinking excessively and constantly waking up soaking wet several times in the night.
I am frequently changing her nappy when we are out and when we are at home i am emptying her potty every 10 minutes this has only recently occured and even during the height of the summer when she would be expected to drink more her fluid intake was the same as normal.
basically what im asking is does any one out there have diabetic children and do they think this is linked i read that blurred vision is another symptom and she has just got her first pair of glasses.
If some one could give me some advice before i take her to the doctors i would be very grateful.
thanks","There are two types of diabetes.  The first, Type I, used to be refered to as juvenile diabetes because it was detected in childhood.  It is caused when the cells in the Isle of Langerhans in the spleen quit producing insulin or die.  It requires injections of insulin to treat.
  The other, Type II, is usually associated with late adulthood.  The person still produces insulin, usually in normal amounts, but due to a metabolic/edocrine malfunction, the body is unable to use the insulin as efficiently as it should.  A variation of this type is known as Gestational Diabetes, and develops only during pregnancy and disappears with delivery.  It is an indicator of risk to develop Type II later in life, but not a guarentee.
  It is rare to diagnose Type II diabetes in a child so young, but not so rare to diagnose Type !.  Although she does seem to urinate and drink a great deal, that in itself can have plenty of other explainations.   Juvenile diabetes is not a condition that develops slowly, and there is most usually a crisis point when the sugar levels in the blood reach dangerous levels.  That leads to a hospital/ER visit, and the diagnosis.  Your daughter is not likely truly diabetic, although there is something going on that the pediatrician needs to check out.  There are too many other potential problems to consider with the limited amount of information that you could disclose on the web, and of course testing ability is nil.
  The vision difficulties could be related, or could be simply due to genetics.  The doctor, unfortunately is the only one who can do that sort of determination.  Small children represent a practice of medicine completely different from that of adults, or even older children.  The rules that apply to the rest of us simply don't apply to small ones as young as your daughter.
  The doctor should be able to eliminate your diabetes concerns quite easily with a blood sugar test, and possibly a glucose tolerance test.  That is a bit difficult to do with one so small, as the glucose solution invariably makes them ill.  But that would be the logical first step.  I imagine the first test he will do is the simple blood sugar test, and a urine test to detect sugar in the urine.   From there it is hard to say what he/she will look into, as that would depend on his exam and her medical history- and the family history as well.
  I really don't think you have to be concerned about the juvenile diabetes.  While it is not unknown in one so young, that is usually associated with a very strong family history of the disorder.  It is also associated with viral infections, usually a very severe infection accompanied by high fever.   Most juvenile diabetics are closer to 9 or 10 at onset.  It also doesn't tend to develop over months, but rather days.
  As one mother to another, I wish I could tell you there was nothing to be concerned about, but truthfully I can't even completely eliminate the possibility that you are correct.  I can tell you that the likelyhood is low, and that the problems you are having are from some other cause.  Hopefully it will be something simple and easily treated, or even something she will outgrow.  The vision problems could certainly be simply little growing eyes, and also correct themselves with age.   In the meantime, gather as much of your family medical history as you can.  Find out what sort of medical problems there have been, and look at what ages any of them first needed glasses.  If you or several members of your family needed glasses as children, that could be your answer for that.  I wish you good news from the doctor, and hope your little girl has a simple to fix ailment.",drinking excessively and constantly waking up soaking wet,,,NA,,,,,,,,,,,,,NA,NA,basically what im asking is does any one out there have diabetic children and do they think this is linked i read that blurred vision is another symptom and she has just got her first pair of glasses.~~~,diabetic,,,,,,"Yes: If some one could give me some advice before i take her to the doctors i would be very grateful.
",,Yes: does my 2 year old have diabetes?,,Yes: basically what im asking is does any one out there have diabetic children and do they think this is linked i read that blurred vision is another symptom and she has just got her first pair of glasses.,"Yes:  I really don't think you have to be concerned about the juvenile diabetes. ...Hopefully it will be something simple and easily treated, or even something she will outgrow. ... I wish you good news from the doctor, and hope your little girl has a simple to fix ailment."
1799093,can any one with kids give me some advice on what to do?,"I have a 20 month old son, he started out having a lil fever on friday night, saturday I had to take him to childrens hospital his temp was 104.2 and vomiting. They gave him amoxicillin and for me to keep roating motrin and tylenol to keep the fever down and to schedule him with his doctor for a check up. Which was today he has still be having a fever and nit picking for eating things.. His doctor told me give it two days if things dont change bring him back.I jus took his temp again its 102.1 and he has some kind of red bumps all over his body.Can any one give me some kind of advice on anything else I could do to help him feel better and if things dont change by thursday what could the doc actually do that he hasnt already?",the fever can cause the rash to come out its not uncommon ( are 3 year old did this ) we gave here a oatmeal bath to help the rash...Aveno oatmeal bath....... we did this a couple times a day it helped 2 days of rash and she was all better........... but we took her up to the ER and they told us that was all we could do   have you child seen again ...........better safe then sorry,some kind of red bumps all over his body,,Female,NA,,,,,"I have a 20 month old son, he started out having a lil fever on friday night, saturday I had to take him to childrens hospital his temp was 104.2 and vomiting.",lil fever,,,,,,,NA,NA,,,,,They gave him amoxicillin and for me to keep roating motrin and tylenol to keep the fever down and to schedule him with his doctor for a check up. Which was today he has still be having a fever and nit picking for eating things.. His doctor told me give it two days if things dont change bring him back.,lil fever,,Yes: Can any one give me some kind of advice on anything else I could do to help him feel better and if things dont change by thursday what could the doc actually do that he hasnt already?,Yes: Can any one give me some kind of advice on anything else I could do to help him feel better and if things dont change by thursday what could the doc actually do that he hasnt already?,,,Yes: can any one with kids give me some advice on what to do?,Yes: we gave here a oatmeal bath to help the rash...Aveno oatmeal bath....... we did this a couple times a day it helped 2 days of rash and she was all better........... but we took her up to the ER and they told us that was all we could do   have you child seen again ...........better safe then sorry
418952,I want to know what risk I have of HIV from fingering a girl with possibly a cut on my finger.?,"A couple months ago I met this girl. We made out a few times and got pretty serious although we never had sex. 

I did finger her downstairs a few times with full penetration with my fingers. I often get small cuts on my fingers from my work.

Now, I stupidly asked her -after- a few times about her STDs and AIDS/HIV thing.  However, she seemed to withdraw at that point, and never said explicitly that she didnt have it, just that if I was worried get a test. She just wouldnt say she definately didnt have it.  It kind of went downhill from there and I haven't seen her in a while.

Now two months later, I feel sick. it's been that way for a month, nothing debilitating, I worry I did catch HIV and I've got seroconversion illness. Ive got a cough, diarrhea and I have general malaise.  I previously in the month had a fever and a very mild rash over my upper body.  

I'm terribly afraid to go see a doctor and get tested in case I'm told I am positive.

Can anyone give me some advice???","possible, go to the doctor and take a blood test to check for HIV",HIV,,Male,NA,,,NA,NA,I'm terribly afraid to go see a doctor and get tested in case I'm told I am positive.,positive,,,,,,,NA,NA,,,,,,,,Yes: I want to know what risk I have of HIV from fingering a girl,,,,Yes: Can anyone give me some advice???,No
1370905,This is a serious question and i need your help!?,I am a bit overweighed and i want to take diet supplements bought a product and I also read the label and know all the consequences...! I want to use it to achieve the size that i want to become...faster but i am afraid of my health! I also have noninsulin-dependent diabetes which is the pre-stage of diabetes....but i want to lose weight because i feel too bad about myself! I am already on a diet but it�s really hard for me to lose the weight that i want to lose!!!Do u have personal experience with diet supplements or have any knowledge of the matter please advice me because i don't want to do anything stupid!,"You have stated you have at least one medical condition....diabetes.  Taking and pill that promises to curb your appetite and make you lose weight is dangerous.

Your doctor would be the first to tell you this.  And you should already be on an American Diabetic Association diet.  These diets come as 1800 Calorie ADA diets, ect.  

Adhereing to this diet regime, plus exercise, should make you lose weight.  I would go down to the say 1200 ADA diet and supplement with snacks in between that are noncaloric or low calories.

You can easily obtain the diets online.  Follow them, exercise daily.  If you are on pills for your diabetes, fooling around with anything is dangerous.

Talk to your doctor!  But, eating correctly and exercise is the best way to lower your weight and control your diabetes!",diet supplements,,,NA,i want to lose weight because i feel too bad about myself! I am already on a diet but it�s really hard for me to lose the weight that i want to lose!!! ~~~,overweighed and i want to take diet supplements,,,faster but i am afraid of my health!,overweighed and i want to take diet supplements,,,,,,,NA,NA,,,,,,,,,,,,Yes: Do u have personal experience with diet supplements or have any knowledge of the matter please advice me because i don't want to do anything stupid!,"Yes: You can easily obtain the diets online.  Follow them, exercise daily.  If you are on pills for your diabetes, fooling around with anything is dangerous."
2827714,What is a brachial left cyst?,"My daughter has a lump that is on her neck, from behind her ear to almost her chin, the doctors said she had an infected brachial left cyst... Does anyone have any experience with what that is?  They did a 'Fine Needle Aspiration' and biopsy to drain the fluid and to do cultures on the cyst and fluid.  I would really appreciate any information you might have, or things I should ask the Doctors treating her.  Thank you for your help.","Do you mean BRACHIAL CLEFT CYST?
Hope this helps ask your doctor for more information and where to find it!",infected brachial left cyst,,,NA,,,,,"My daughter has a lump that is on her neck, from behind her ear to almost her chin, the doctors said she had an infected brachial left cyst.",brachial left cyst,,,,,,,NA,NA,,,,,,,,"Yes: I would really appreciate any information you might have, or things I should ask the Doctors treating her.  Thank you for your help.",,,,Yes: Does anyone have any experience with what that is?,No
4329888,My 6 yr old feels tickling over chest and teeth;was on medicine for fever and cold;Any treatment /cause known?,She had fever 2 weeks ago. Ayurvedic doc said that medicine for cold has suppressed the cold and kud be causing the tickling. She lives near a highly polluted area where they burn all sorts of city's garbage and hence covered by thick clouds of smoke. She had this tickling sensation b4 too on other body parts like forehead etc. Sounds very strange problem. docs are unable to explain. Does anyone know about this problem and knows a cure to help my little one?,"not a doctor, but I guess that the teeth is like the feeling you get when your leg falls asleep and then blood rushed in and it feels weird.  As an adult it sucks, but as a kid it felt cool!  I think the nerve in the mouth is shallow and the and the antitussive is numbing them and the sensation she feels is feeling coming back.  Second the chest could be the same thing.  It probably the flem in the esophagus sliding back in to the lungs tickling the hairs/fimbrea that normally sweep up toward the mouth.  Or it could be an allergic reaction.  I get that same """"tickling"""" when I eat a certain type of salsa.  I think its the preservatives.
I am all about the herbals, but I'd rather try over the counter if my kid is having a reaction to herbal meds.",tickling sensation,,,NA,,,NA,NA,,,,,,,,,NA,NA,,,,,Sounds very strange problem. docs are unable to explain.,tickling over chest,,,,,,Yes: Does anyone know about this problem and knows a cure to help my little one?,No
3927661,does anyone on here today have ADD??,"i have never been tested for ADD or ADHD, but i have read some of the symptoms on web-sites or heard them on television. i would like to know what your symptoms are and what you experiance throughout the day. i would like to ask my doctor to be tested, but i dont want to sound foolish...i really have a problem concentrating on a conversation that i am having. i almost rear-end people while driving b/c i am constantly looking around at my surroundings. i am useless at talking on the phone for business purposes (i forget why i called and/or what questions that i was going to ask). are these some signs of ADD or am i just crazy and need to be instatutionalized? thanks in advance for all of your answers! and please dont leave links to web-sites. thanks","If people have told you that you're totally disorganized, if you never finish anything you start, if you go outside to work in the garden and forget you had supper in the oven, if you have to make lists to remember who to call back, if you start dusting in one room and wind up straightening your books in another room while deciding that maybe it's also a good time to do a load of laundry, if you're always late even if if you get up at 4 a.m.,,...sound familiar yet?   

If so, good luck to you!!     :-)",ADD,,,NA,i am useless at talking on the phone for business purposes.,ADD or ADHD,,,,,,,,,,,,,,,are these some signs of ADD or am i just crazy and need to be instatutionalized?,ADD or ADHD," i would like to ask my doctor to be tested, but i dont want to sound foolish. ",ADD or ADHD,,Yes: are these some signs of ADD,Yes: are these some signs of ADD or am i just crazy and need to be instatutionalized?,Yes: am i just crazy and need to be instatutionalized?,,Yes: does anyone on here today have ADD??,No
